Día,C,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging,sma_12,ema_12,sma_26,ema_26,MACD
2020-07-21,49940.42,0.0010553688809902262,1.2217448199213683,50249.990000000005,50696.49340826377,49803.48659173624,50142.41499999999,50302.145000000004,49343.8425,48604.92999999999,51368.64,50190.464166666665,50202.638846153844,50187.318846153845,50154.84091715976,47.79792899408494
2020-07-22,50012.18,0.0014369122246069566,1.2235003599884635,50246.95849999999,50699.08170106623,49794.83529893376,50107.619999999995,50302.145000000004,49497.565,48683.565,51440.12,50171.68166666667,50163.035833333335,50187.527307692304,50160.37440828402,2.6614250493148575
2020-07-23,49893.06,-0.0023818197886995573,1.220586202619562,50236.6155,50710.888038799676,49762.342961200324,50107.619999999995,50302.145000000004,49643.3425,48714.015,51655.3,50142.9725,50128.8167948718,50183.15423076923,50142.22464497041,-13.40785009861429
2020-07-24,49970.04,0.001542899954422694,1.2224694450159526,50230.121499999994,50715.25442140149,49744.988578598495,50107.619999999995,50302.145000000004,49643.3425,48714.015,51505.65,50120.67833333334,50116.3675,50181.74192307692,50150.367426035504,-33.99992603550345
2020-07-25,49970.04,0.0,1.2224694450159526,50223.6275,50719.03883629045,49728.216163709556,50008.675,50302.145000000004,49643.3425,48714.015,51195.13,50085.09333333333,50097.50320512821,50180.32961538461,50149.17239644971,-51.66919132149633
2020-07-26,49970.04,0.0,1.2224694450159526,50208.264,50715.11442914839,49701.41357085162,50008.675,50309.545,49700.947499999995,48714.015,51141.12,50057.269166666665,50067.39282051282,50184.06307692307,50147.9773668639,-80.58454635108501
2020-07-27,50014.07,0.0008811279718807796,1.2235465970387256,50172.4015,50624.070476849265,49720.732523150735,50008.675,50309.545,49700.947499999995,48714.015,51141.12,50031.152500000004,50050.62314102564,50185.73961538461,50157.91029585798,-107.28715483234555
2020-07-28,50129.52,0.0023083504301888436,1.226370971352356,50145.1575,50533.00148852405,49757.31351147595,50008.645,50309.545,49700.947499999995,48714.015,51141.12,50014.65666666667,50046.285961538466,50187.92076923077,50177.09044378698,-130.80448224851716
2020-07-29,50181.99,0.0010466886577011891,1.2276545999382045,50121.3255,50429.69615918038,49812.95484081962,50037.524999999994,50309.545,49666.705,48714.015,51413.05,50019.02416666666,50040.400256410256,50191.07730769231,50187.008343195266,-146.60808678501053
2020-07-30,49955.66,-0.004510183832884929,1.2221176520091963,50107.229999999996,50418.848340125514,49795.61165987448,50037.524999999994,50309.545,49666.0075,48714.015,51556.54,50004.53083333333,50009.27583333333,50185.528846153844,50154.85926035503,-145.58342702169466
2020-07-31,49637.75,-0.006363843456377194,1.2143402865865345,50077.239,50444.11601326371,49710.361986736294,49909.869999999995,50184.535,49666.0075,48714.015,51603.83,49963.54499999999,49948.10301282051,50167.75307692307,50101.25517751479,-153.15216469427833
2020-08-01,49637.75,0.0,1.2143402865865345,50047.24800000001,50453.22465130513,49641.271348694885,49909.869999999995,50184.535,49718.035,48729.375,51788.8,49942.71,49913.422692307686,50143.154615384614,50086.21414201183,-172.791449704142
2020-08-02,49637.75,0.0,1.2143402865865345,50009.2825,50419.345507443875,49599.21949255613,49909.869999999995,50156.075,49945.04,48956.380000000005,51715.11,49917.487499999996,49895.79307692307,50101.09423076923,50065.400059171596,-169.6069822485224
2020-08-03,49783.46,0.0029354674617605436,1.2179049429853142,49983.259000000005,50380.96545606719,49585.55254393282,49909.869999999995,50148.19,49945.04,49052.375,51715.11,49898.42749999999,49896.86788461538,50066.8273076923,50052.227426035504,-155.35954142012633
2020-08-04,49932.89,0.0030015993263625695,1.2215606056417525,49963.53,50328.4323912103,49598.6276087897,49909.869999999995,50017.405,49969.417499999996,49354.604999999996,51715.11,49901.746666666666,49903.72942307692,50038.91423076923,50046.22156804733,-142.49214497041248
2020-08-05,50287.86,0.007108941621444265,1.2302446086743157,49961.5495,50318.79693335544,49604.30206664456,49962.805,50017.405,49995.0,49402.405,51673.92,49928.23166666667,49961.148717948716,50040.848461538466,50077.21357988166,-116.06486193294404
2020-08-06,50667.23,0.0075439678681892275,1.2395255344721678,49988.432,50457.13452697754,49519.72947302246,50152.490000000005,50152.490000000005,50001.7775,49402.405,51404.03,49986.33083333334,50041.92371794872,50057.37384615385,50137.21485207101,-95.29113412229344
2020-08-07,50678.62,0.0002248001321563109,1.2398041799761284,50015.884,50571.69089898773,49460.07710101227,50158.185,50158.185,50001.7775,49402.405,51422.11,50045.37916666667,50092.83685897436,50074.33730769231,50152.9501775148,-60.11331854043965
2020-08-08,50678.62,0.0,1.2398041799761284,50043.335999999996,50669.487467398474,49417.18453260152,50158.185,50158.185,50155.5,49402.405,51484.86,50100.75833333333,50142.80083333334,50085.16653846154,50167.30387573965,-24.50304240630794
